"","player","team","total_bat_wpa","runs_for","wickets_lost","balls_faced","total_bowl_wpa","wickets_taken","runs_against","balls_bowled","bowl_wpa_per_ball","bowl_economy","bowl_average","bat_wpa_per_ball","strike_rate","average","total_wpa","balls_total","total_wpa_per_ball","logo","team_colour_codes"
"1","A Capsey","Melbourne Stars",58,259,11,206,-7,11,258,229,-0.03,6.76,23.45,0.28,7.54,23.55,51,435,0.12,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"2","A Gardner","Sydney Sixers",128,339,12,229,91,23,380,343,0.27,6.65,16.52,0.56,8.88,28.25,219,572,0.38,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"3","A Genford","Sydney Sixers",-36,4,4,7,5,1,36,27,0.19,8,36,-5.14,3.43,1,-31,34,-0.91,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"4","A King","Perth Scorchers",7,68,5,40,49,17,278,287,0.17,5.81,16.35,0.18,10.2,13.6,56,327,0.17,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"5","A Learoyd","Sydney Thunder",-42,45,2,78,0,0,0,0,0,NA,NA,-0.54,3.46,22.5,-42,78,-0.54,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"6","A O'Neil","Adelaide Strikers",-8,3,1,5,0,0,0,0,0,NA,NA,-1.6,3.6,3,-8,5,-1.6,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"7","A Smith","Hobart Hurricanes",-12,8,2,13,-80,6,135,141,-0.57,5.74,22.5,-0.92,3.69,4,-92,154,-0.6,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"8","A Sutherland","Melbourne Stars",111,304,11,278,87,22,393,299,0.29,7.89,17.86,0.4,6.56,27.64,198,577,0.34,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"9","A Wellington","Adelaide Strikers",-7,40,6,46,64,23,378,331,0.19,6.85,16.43,-0.15,5.22,6.67,57,377,0.15,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"10","AC Jayangani","Melbourne Renegades",-29,133,8,156,0,0,0,0,0,NA,NA,-0.19,5.12,16.62,-29,156,-0.19,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"11","AC Kerr","Brisbane Heat",47,295,10,260,-29,26,418,359,-0.08,6.99,16.08,0.18,6.81,29.5,18,619,0.03,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"12","AC Mushangwe","Adelaide Strikers",0,0,0,0,19,2,21,24,0.79,5.25,10.5,0,NA,NA,19,24,0.79,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"13","AE Jones","Sydney Thunder",-32,210,8,207,0,0,0,0,0,NA,NA,-0.15,6.09,26.25,-32,207,-0.15,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"14","AJ Healy","Sydney Sixers",-4,330,13,268,0,0,0,0,0,NA,NA,-0.01,7.39,25.38,-4,268,-0.01,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"15","AL Edgar","Perth Scorchers",113,130,4,120,-2,5,62,55,-0.04,6.76,12.4,0.94,6.5,32.5,111,175,0.63,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"16","B Vakarewa","Sydney Thunder",-12,43,3,39,-55,5,272,254,-0.22,6.43,54.4,-0.31,6.62,14.33,-67,293,-0.23,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"17","BAM Heath","Melbourne Stars",88,128,6,129,0,0,0,0,0,NA,NA,0.68,5.95,21.33,88,129,0.68,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"18","BE Patterson","Adelaide Strikers",-7,216,10,194,0,0,0,0,0,NA,NA,-0.04,6.68,21.6,-7,194,-0.04,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"19","BL Mooney","Perth Scorchers",-14,434,12,368,0,0,0,0,0,NA,NA,-0.04,7.08,36.17,-14,368,-0.04,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"20","C Leeson","Melbourne Renegades",-10,211,9,207,0,0,0,0,0,NA,NA,-0.05,6.12,23.44,-10,207,-0.05,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"21","C Piparo","Perth Scorchers",-47,174,10,190,0,0,0,0,0,NA,NA,-0.25,5.49,17.4,-47,190,-0.25,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"22","C Webb","Melbourne Renegades",39,252,11,265,0,0,0,0,0,NA,NA,0.15,5.71,22.91,39,265,0.15,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"23","CG Sippel","Brisbane Heat",19,6,0,4,6,12,371,295,0.02,7.55,30.92,4.75,9,Inf,25,299,0.08,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"24","CL Tryon","Sydney Thunder",-22,97,9,104,-16,5,95,95,-0.17,6,19,-0.21,5.6,10.78,-38,199,-0.19,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"25","CR Knott","Brisbane Heat",77,143,6,130,4,8,187,159,0.03,7.06,23.38,0.59,6.6,23.83,81,289,0.28,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"26","D Brown","Adelaide Strikers",22,3,1,5,35,17,382,361,0.1,6.35,22.47,4.4,3.6,3,57,366,0.16,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"27","DJS Dottin","Adelaide Strikers",35,362,12,330,-102,17,403,334,-0.31,7.24,23.71,0.11,6.58,30.17,-67,664,-0.1,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"28","DN Wyatt","Brisbane Heat",31,263,14,211,0,0,0,0,0,NA,NA,0.15,7.48,18.79,31,211,0.15,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"29","E Falconer","Melbourne Renegades",-4,45,5,24,0,0,0,0,0,NA,NA,-0.17,11.25,9,-4,24,-0.17,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"30","E Hayward","Melbourne Renegades",-10,8,3,21,-128,6,202,203,-0.63,5.97,33.67,-0.48,2.29,2.67,-138,224,-0.62,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"31","E Johnston","Brisbane Heat",-12,68,4,59,0,0,0,0,0,NA,NA,-0.2,6.92,17,-12,59,-0.2,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"32","E Jones","Melbourne Renegades",-38,24,4,33,0,0,0,0,0,NA,NA,-1.15,4.36,6,-38,33,-1.15,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"33","E Kershaw","Melbourne Renegades",24,100,5,85,0,0,0,0,0,NA,NA,0.28,7.06,20,24,85,0.28,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"34","E Manix-Geeves","Hobart Hurricanes",9,20,0,22,0,0,0,0,0,NA,NA,0.41,5.45,Inf,9,22,0.41,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"35","EA Burns","Sydney Sixers",87,295,10,206,0,1,4,2,0,12,4,0.42,8.59,29.5,87,208,0.42,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"36","EA Perry","Sydney Sixers",96,408,10,356,-105,6,280,207,-0.51,8.12,46.67,0.27,6.88,40.8,-9,563,-0.02,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"37","EJ Villani","Hobart Hurricanes",99,230,11,227,0,0,0,0,0,NA,NA,0.44,6.08,20.91,99,227,0.44,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"38","G Prestwidge","Melbourne Renegades",-28,29,7,41,-79,7,248,197,-0.4,7.55,35.43,-0.68,4.24,4.14,-107,238,-0.45,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"39","G Redmayne","Brisbane Heat",-13,354,9,342,0,0,0,0,0,NA,NA,-0.04,6.21,39.33,-13,342,-0.04,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"40","G Voll","Brisbane Heat",-107,262,16,249,-28,1,21,11,-2.55,11.45,21,-0.43,6.31,16.38,-135,260,-0.52,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"41","GM Harris","Brisbane Heat",-26,297,13,279,0,0,0,0,0,NA,NA,-0.09,6.39,22.85,-26,279,-0.09,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"42","H Graham","Hobart Hurricanes",97,258,9,216,-29,11,297,222,-0.13,8.03,27,0.45,7.17,28.67,68,438,0.16,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"43","HJ Darlington","Sydney Thunder",-10,42,5,31,-8,8,200,142,-0.06,8.45,25,-0.32,8.13,8.4,-18,173,-0.1,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"44","HK Matthews","Melbourne Renegades",-109,253,13,236,43,12,303,262,0.16,6.94,25.25,-0.46,6.43,19.46,-66,498,-0.13,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"45","HL Ferling","Perth Scorchers",0,8,0,4,-23,1,62,57,-0.4,6.53,62,0,12,Inf,-23,61,-0.38,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"46","HNK Jensen","Hobart Hurricanes",-1,22,5,35,-74,8,281,235,-0.31,7.17,35.12,-0.03,3.77,4.4,-75,270,-0.28,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"47","JE Dooley","Melbourne Renegades",-42,185,10,184,0,0,0,0,0,NA,NA,-0.23,6.03,18.5,-42,184,-0.23,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLR_tab.ashx?54px","#CC0033"
"48","JI Rodrigues","Melbourne Stars",-45,44,4,54,0,0,0,0,0,NA,NA,-0.83,4.89,11,-45,54,-0.83,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"49","JL Barsby","Adelaide Strikers",1,4,4,9,120,19,297,310,0.39,5.75,15.63,0.11,2.67,1,121,319,0.38,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"50","JL Jonassen","Brisbane Heat",69,148,3,114,91,28,391,340,0.27,6.9,13.96,0.61,7.79,49.33,160,454,0.35,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"51","JM Kerr","Brisbane Heat",0,0,0,0,202,7,187,181,1.12,6.2,26.71,0,NA,NA,202,181,1.12,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"52","K Peterson","Sydney Sixers",27,10,0,13,89,12,156,133,0.67,7.04,13,2.08,4.62,Inf,116,146,0.79,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"53","KJ Garth","Melbourne Stars",-46,115,8,141,25,14,323,301,0.08,6.44,23.07,-0.33,4.89,14.38,-21,442,-0.05,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"54","KM Mack","Adelaide Strikers",-12,350,16,340,0,0,0,0,0,NA,NA,-0.04,6.18,21.88,-12,340,-0.04,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"55","L Cheatle","Sydney Sixers",0,1,0,1,188,18,393,330,0.57,7.15,21.83,0,6,Inf,188,331,0.57,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
"56","L Harris","Brisbane Heat",94,270,12,136,0,0,0,0,0,NA,NA,0.69,11.91,22.5,94,136,0.69,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"57","L Lee","Hobart Hurricanes",-49,296,15,273,0,0,0,0,0,NA,NA,-0.18,6.51,19.73,-49,273,-0.18,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/HBH_tab.ashx?54px","#9933FF"
"58","L Mills","Perth Scorchers",13,3,2,6,58,15,260,230,0.25,6.78,17.33,2.17,3,1.5,71,236,0.3,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/PRS_tab.ashx?54px","#FF6600"
"59","L Winfield","Melbourne Stars",-63,254,12,246,0,0,0,0,0,NA,NA,-0.26,6.2,21.17,-63,246,-0.26,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/MLS_tab.ashx?54px","#009966"
"60","L Wolvaardt","Adelaide Strikers",75,403,16,386,0,0,0,0,0,NA,NA,0.19,6.26,25.19,75,386,0.19,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/ADS_tab.ashx?54px","#3399FF"
"61","LG Smith","Sydney Thunder",-2,29,6,40,-17,11,220,202,-0.08,6.53,20,-0.05,4.35,4.83,-19,242,-0.08,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"62","LK Hamilton","Brisbane Heat",1,5,1,8,-10,0,33,26,-0.38,7.62,Inf,0.12,3.75,5,-9,34,-0.26,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/BRH_tab.ashx?54px","#66FFFF"
"63","LMM Tahuhu","Sydney Thunder",-3,17,3,29,-59,4,155,138,-0.43,6.74,38.75,-0.1,3.52,5.67,-62,167,-0.37,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYTtabpng.ashx?54px","#33FF33"
"64","M Brown","Sydney Sixers",48,105,5,69,-32,12,213,170,-0.19,7.52,17.75,0.7,9.13,21,16,239,0.07,"https://www.cricket.com.au/-/media/cricketactcomau/Images/Logos/Thumbnails/SYS_tab.ashx?54px","#FF00FF"
